,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,id_calendario,id_provincia
143,126,1294,63698,39568,31175,5780,2904,15763.0,32,18
144,104,105,89168,26281,18538,5320,1643,14907.0,31,18
145,104,105,89639,22605,16604,3896,1112,5172.0,30,18
146,106,109,86986,21401,15392,2844,1112,4390.0,29,18
147,106,109,88157,21824,12046,2818,1112,4402.0,28,18
148,158,109,87559,22114,12217,2818,1110,3942.0,27,18
149,158,109,69578,22188,10537,1473,614,3999.0,26,18
150,158,109,69586,12957,7756,1240,614,4500.0,25,18
151,158,4,69405,12945,7615,1240,614,4121.0,24,18
152,74,840,62680,13033,7171,1240,614,4500.0,23,18
153,66,3952,69032,10049,1495,74,165,4500.0,22,18
154,66,3938,71077,6571,787,74,165,0.0,21,18
155,66,3917,66061,6215,531,623,165,1144.0,20,18
156,67,3951,91096,6162,531,623,164,0.0,19,18
157,67,4471,85598,5369,4,5,9,5010.0,18,18
158,67,4314,83161,5358,4,5,9,5010.0,17,18
159,67,4313,83676,5355,7,5,9,0.0,16,18
160,436,3989,71843,2336,3,0,0,0.0,15,18
161,403,4186,73760,1880,0,0,0,0.0,14,18
162,401,4182,73759,1808,0,0,0,0.0,13,18
163,401,4493,73951,1352,0,0,0,0.0,12,18
164,466,5190,74375,674,0,0,0,0.0,11,18
165,572,5421,73078,775,0,0,0,0.0,10,18
166,94,5095,72396,1066,0,0,0,0.0,9,18
167,625,5774,71881,168,0,0,0,0.0,8,18
168,641,5886,71668,167,0,0,0,0.0,7,18
169,656,6032,55791,168,0,0,0,0.0,6,18
170,651,6176,57333,102,0,0,0,0.0,5,18
171,1858,6218,60392,70,0,0,0,0.0,4,18
172,2013,6281,60771,34,0,0,0,0.0,3,18
173,2064,6582,61868,0,0,0,0,0.0,2,18
174,7452,10,61329,0,0,0,0,0.0,1,18
175,99,11312,153324,111615,70989,27112,650344,13873.0,35,2
176,99,11971,160486,120485,71923,28645,619400,13426.0,34,2
177,100,12782,165922,126009,73967,34892,577027,13104.0,33,2
178,100,2479,184548,130892,76246,41198,538700,12607.0,32,2
179,99,2452,204989,141285,65050,47198,476459,9256.0,31,2
180,99,2452,201757,136516,66950,70824,442357,9925.0,30,2
181,93,2386,211799,135092,74659,71984,402191,12677.0,29,2
182,119,2386,214963,135262,82221,70013,384169,13568.0,28,2
183,168,3064,218599,124833,84236,63823,361021,11728.0,27,2
184,168,4383,219025,125932,89530,63216,325243,8971.0,26,2
185,142,5128,217229,120188,95827,65733,296875,9802.0,25,2
186,142,0,232781,118232,109330,114111,221742,10350.0,24,2
187,83,5824,240151,106651,118486,146247,157546,7353.0,23,2
188,81,8165,248427,100512,157458,170159,76053,8938.0,22,2
189,81,20403,242769,96997,200681,127965,50716,6806.0,21,2
190,81,24102,228475,97277,201639,128053,48809,8903.0,20,2
191,81,24767,224471,96372,221984,109333,39854,6490.0,19,2
192,81,21779,219630,102596,244291,78852,34950,8110.0,18,2
193,281,23922,222815,104300,266259,57137,29228,10049.0,17,2
194,291,25411,280837,102892,217602,40898,24251,8429.0,16,2
195,327,26154,309161,100113,189302,38131,16741,0.0,15,2
196,251,26862,370865,88479,146683,20351,5069,0.0,14,2
197,50,28732,391556,82011,118643,19035,2071,0.0,13,2
198,50,29380,404645,77966,108368,15458,1606,0.0,12,2
199,48,41329,415075,75988,99225,11691,1322,0.0,11,2
200,258,57050,437547,71980,82618,8355,1242,0.0,10,2
201,148,59484,414452,65763,66455,4143,1039,0.0,9,2
202,148,63746,427471,62989,67151,3336,1088,0.0,8,2
203,150,68765,429787,61109,59372,2582,1048,0.0,7,2
204,156,72695,434717,54993,46415,1956,903,0.0,6,2
205,157,78427,432802,46574,37443,1615,815,0.0,5,2
206,1903,85362,427844,41947,30858,1177,782,0.0,4,2
207,660,98992,435692,28992,18888,84,664,0.0,3,2
208,2105,101598,429536,28698,14824,76,627,0.0,2,2
209,2076,107705,423114,24112,9818,40,588,0.0,1,2
210,67,3865,23427,23948,7776,21706,56950,7107.0,35,10
211,67,3937,24253,24842,8001,21719,55071,7107.0,34,10
212,67,4029,24563,25665,27077,10452,43631,7094.0,33,10
213,67,645,28830,26368,22922,10087,39911,7082.0,32,10
214,67,645,29629,28478,24792,9687,35468,5053.0,31,10
215,67,645,29419,27037,24524,10059,32697,5053.0,30,10
216,67,527,31544,26223,26169,9001,27641,5453.0,29,10
217,67,527,31900,26321,25687,9383,26789,4985.0,28,10
218,72,527,35190,23315,25308,8615,25344,5020.0,27,10
219,72,527,34242,22845,25844,7898,22418,5020.0,26,10
220,72,527,33479,21382,26679,7351,19467,4780.0,25,10
221,72,0,35055,20620,27367,9981,15744,4995.0,24,10
222,10,597,42231,29628,10348,10388,12674,4780.0,23,10
223,10,3012,40424,27774,13114,11928,7119,6080.0,22,10
224,10,6470,38402,26562,15498,9688,5029,0.0,21,10
225,10,6438,37376,26562,15498,9688,5029,0.0,20,10
226,11,6754,38364,24953,16601,8357,4419,0.0,19,10
227,11,7047,38268,24066,17926,6780,3862,0.0,18,10
228,11,5005,37152,24038,19068,5890,3256,0.0,17,10
229,11,5220,41080,23686,16046,5053,2675,0.0,16,10
230,24,5629,44305,22785,15576,2635,1607,0.0,15,10
231,15,5912,46483,21776,13043,2218,647,0.0,14,10
232,15,6040,48149,20586,11468,2044,303,0.0,13,10
233,15,6109,48995,20187,10908,1645,234,0.0,12,10
234,15,7425,49471,19956,10006,1263,210,0.0,11,10
235,41,10018,47916,19200,8851,803,191,0.0,10,10
236,29,10690,47833,18375,7911,526,170,0.0,9,10
237,29,11248,48104,17877,7569,456,150,0.0,8,10
238,33,11921,48127,18168,6111,453,146,0.0,7,10
239,34,12542,48015,17184,5039,379,126,0.0,6,10
240,36,13295,47842,15554,4424,235,98,0.0,5,10
241,40,13860,42182,7513,2106,0,9,0.0,4,10
242,21,15448,41717,5181,1172,0,0,0.0,3,10
243,20,15563,41219,5199,956,0,0,0.0,2,10
244,20,16357,40742,4486,630,0,0,0.0,1,10
245,107,5549,47210,46855,18263,32021,102195,16759.0,35,8
246,107,5656,48637,48557,18512,32355,98769,16759.0,34,8
