,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),id_calendario,id_provincia
402,35170,31309,2581,139,1141,18,21
403,35980,31602,2649,139,1590,17,21
404,37770,33023,2656,139,1952,16,21
405,38014,33133,2719,139,2023,15,21
406,37869,32970,2770,139,1990,14,21
407,37770,33015,2660,140,1955,13,21
408,37770,33023,2656,139,1952,12,21
409,38014,33133,2719,139,2023,11,21
410,37869,32970,2770,139,1990,10,21
411,37770,33015,2660,140,1955,9,21
412,38574,32406,3880,136,2152,8,21
413,38651,32167,4214,135,2135,7,21
414,38903,32283,4295,134,2191,6,21
415,38902,32237,4375,142,2148,5,21
416,39162,32291,4472,134,2265,4,21
417,39373,32457,4471,133,2312,3,21
418,39474,32543,4436,130,2365,2,21
419,39625,32728,4417,128,2352,1,21
420,197019,180132,13175,867,2845,35,5
421,204771,187537,13630,865,2739,34,5
422,196157,178743,13557,872,2985,33,5
423,204522,185947,14447,919,3209,32,5
424,196028,176671,15017,958,3382,31,5
425,204522,185947,14447,919,3209,30,5
426,196315,176118,15194,928,4075,29,5
427,196388,176583,15449,911,3445,28,5
428,196383,177349,14337,959,3738,27,5
429,196388,176583,15449,911,3445,26,5
430,210725,189045,16899,932,3849,25,5
431,218661,195556,17432,973,4700,24,5
432,225668,202124,17721,982,4841,23,5
433,218661,195556,17432,973,4700,22,5
434,241006,213013,18974,1008,8011,21,5
435,360697,322404,26326,1465,10502,20,5
436,360459,321856,26379,1444,10780,19,5
437,360453,320879,26453,1429,11692,18,5
438,360420,316562,26533,1396,15929,17,5
439,381118,333217,26803,1406,19692,16,5
440,377803,329297,27022,1382,20102,15,5
441,370071,322197,27070,1358,19446,14,5
442,381118,333135,26845,1408,19730,13,5
443,381118,333217,26803,1406,19692,12,5
444,377803,329297,27022,1382,20102,11,5
445,370071,322197,27070,1358,19446,10,5
446,381118,333135,26845,1408,19730,9,5
447,361160,303416,36325,1273,20146,8,5
448,358373,298253,39072,1256,19792,7,5
449,350326,290717,38676,1207,19726,6,5
450,339093,280993,38139,1240,18721,5,5
451,327635,270148,37414,1121,18952,4,5
452,320228,263975,36367,1083,18803,3,5
453,320351,264109,35998,1051,19193,2,5
454,320413,264647,35714,1036,19016,1,5
455,76605,70039,5123,337,1106,35,9
456,61355,56191,4084,259,821,34,9
457,91333,83225,6312,406,1390,33,9
458,98622,89666,6966,443,1547,32,9
459,78868,71080,6042,385,1361,31,9
460,98622,89666,6966,443,1547,30,9
461,82076,73632,6352,388,1704,29,9
462,85762,77112,6747,398,1505,28,9
463,88884,80269,6489,434,1692,27,9
464,85762,77112,6747,398,1505,26,9
465,90832,81487,7284,402,1659,25,9
466,93753,83847,7474,417,2015,24,9
467,95865,85864,7528,417,2056,23,9
468,93753,83847,7474,417,2015,22,9
469,101672,89863,8004,425,3380,21,9
470,104246,93179,7609,423,3035,20,9
471,103894,92768,7603,416,3107,19,9
472,108094,96226,7933,429,3506,18,9
473,103398,90815,7612,401,4570,17,9
474,115189,100711,8101,425,5952,16,9
475,110690,96478,7917,405,5890,15,9
476,110533,96234,8085,406,5808,14,9
477,115189,100687,8113,426,5963,13,9
478,115189,100711,8101,425,5952,12,9
479,110690,96478,7917,405,5890,11,9
480,110533,96234,8085,406,5808,10,9
481,115189,100687,8113,426,5963,9,9
482,111733,93868,11238,394,6233,8,9
483,113211,94219,12343,397,6252,7,9
484,110526,91719,12202,381,6224,6,9
485,110526,91589,12431,404,6102,5,9
486,111784,92171,12765,382,6466,4,9
487,111998,92324,12719,379,6576,3,9
488,110906,91434,12463,364,6645,2,9
489,111018,91696,12374,359,6589,1,9
490,80410,73518,5377,354,1161,35,16
491,72490,66389,4825,306,970,34,16
492,74114,67534,5122,330,1128,33,16
493,72616,66022,5129,326,1139,32,16
494,74203,66876,5684,363,1280,31,16
495,72616,66022,5129,326,1139,30,16
496,74404,66749,5759,352,1544,29,16
497,74546,67028,5864,346,1308,28,16
498,74481,67261,5438,364,1418,27,16
499,74546,67028,5864,346,1308,26,16
500,77487,69515,6214,343,1415,25,16
501,78963,70620,6295,351,1697,24,16
502,80350,71967,6310,349,1724,23,16
503,78963,70620,6295,351,1697,22,16
504,83521,73821,6575,349,2776,21,16
505,109166,97577,7968,443,3178,20,16
506,97134,86731,7109,389,2905,19,16
507,97148,86482,7130,385,3151,18,16
508,97217,85386,7157,377,4297,17,16
509,101846,89046,7162,376,5262,16,16
510,101751,88687,7278,372,5414,15,16
511,98956,86155,7238,363,5200,14,16
512,101846,89023,7174,376,5273,13,16
513,101846,89046,7162,376,5262,12,16
514,101751,88687,7278,372,5414,11,16
515,98956,86155,7238,363,5200,10,16
516,101846,89023,7174,376,5273,9,16
517,108302,90986,10893,382,6041,8,16
518,98784,82212,10770,346,5456,7,16
519,97708,81082,10787,337,5502,6,16
520,96099,79633,10809,351,5306,5,16
521,93902,77426,10723,321,5432,4,16
522,92775,76477,10536,314,5448,3,16
523,92792,76501,10427,305,5559,2,16
524,92732,76593,10336,300,5503,1,16
525,76473,69919,5114,336,1104,35,15
526,82134,75221,5467,347,1099,34,15
527,83067,75693,5741,369,1264,33,15
528,86287,78450,6095,388,1354,32,15
529,83724,75456,6414,409,1445,31,15
530,86287,78450,6095,388,1354,30,15
531,82669,74164,6398,391,1716,29,15
532,84513,75990,6648,392,1483,28,15
533,85239,76977,6223,416,1623,27,15
534,84513,75990,6648,392,1483,26,15
535,88260,79180,7078,390,1612,25,15
536,91113,81486,7263,405,1959,24,15
537,94207,84378,7398,410,2021,23,15
538,91113,81486,7263,405,1959,22,15
539,100373,88715,7902,420,3336,21,15
540,139693,124863,10196,567,4067,20,15
541,139713,124750,10225,560,4178,19,15
542,139757,124413,10257,554,4533,18,15
543,139844,122826,10295,542,6181,17,15
544,145598,127299,10239,537,7523,16,15
545,143888,125414,10292,526,7656,15,15
546,141053,122805,10318,518,7412,14,15
547,145598,127267,10255,538,7538,13,15
548,145598,127299,10239,537,7523,12,15
549,143888,125414,10292,526,7656,11,15
550,141053,122805,10318,518,7412,10,15
551,145598,127267,10255,538,7538,9,15
552,135095,113495,13588,476,7536,8,15
553,133855,111399,14594,469,7393,7,15
554,131424,109062,14509,453,7400,6,15
555,127343,105523,14323,466,7031,5,15
556,123365,101720,14087,422,7136,4,15
557,121350,100033,13781,410,7126,3,15
558,121250,99963,13625,398,7264,2,15
559,121289,100180,13519,392,7198,1,15
560,88052,80505,5888,387,1272,35,7
561,71247,65251,4742,301,953,34,7
562,109105,99419,7541,485,1660,33,7
563,120291,109367,8497,540,1887,32,7
564,93818,84554,7187,458,1619,31,7
565,120291,109367,8497,540,1887,30,7
566,96214,86315,7447,455,1997,29,7
567,101610,91363,7993,471,1783,28,7
568,103159,93160,7531,504,1964,27,7
569,101610,91363,7993,471,1783,26,7
570,107506,96447,8621,475,1963,25,7
571,110873,99158,8839,493,2383,24,7
572,113707,101844,8929,495,2439,23,7
573,110873,99158,8839,493,2383,22,7
574,122902,108627,9676,514,4085,21,7
575,126296,112888,9218,513,3677,20,7
576,129587,115710,9483,519,3875,19,7
577,131938,117452,9683,523,4280,18,7
578,134030,117720,9867,519,5924,17,7
579,139346,121832,9800,514,7200,16,7
580,139723,121784,9994,511,7434,15,7
581,139208,121199,10183,511,7315,14,7
582,139346,121802,9815,515,7214,13,7
583,139346,121832,9800,514,7200,12,7
584,139723,121784,9994,511,7434,11,7
585,139208,121199,10183,511,7315,10,7
586,139346,121802,9815,515,7214,9,7
587,141131,118566,14195,497,7873,8,7
588,141105,117433,15384,495,7793,7,7
589,140955,116971,15561,486,7937,6,7
590,140946,116796,15853,515,7782,5,7
591,141211,116435,16125,483,8168,4,7
592,141312,116488,16048,478,8298,3,7
593,141122,116346,15858,463,8455,2,7
594,140841,116328,15699,455,8359,1,7
595,74837,68423,5004,329,1081,35,13
596,66631,61024,4435,281,891,34,13
597,74775,68136,5168,333,1138,33,13
598,66631,60580,4707,299,1045,32,13
599,74837,67447,5733,366,1291,31,13
600,66631,60580,4707,299,1045,30,13
601,74837,67138,5792,354,1553,29,13
602,74837,67290,5887,347,1313,28,13
603,74844,67590,5464,365,1425,27,13
604,74837,67290,5887,347,1313,26,13
605,78502,70426,6295,347,1434,25,13
606,80524,72016,6419,358,1731,24,13
607,82462,73858,6476,359,1769,23,13
608,80524,72016,6419,358,1731,22,13
609,85905,75928,6763,359,2855,21,13
610,115257,103021,8412,468,3356,20,13
611,115192,102856,8430,461,3445,19,13
612,115192,102544,8454,457,3737,18,13
613,115192,101175,8480,446,5091,17,13
614,114113,99771,8025,421,5896,16,13
615,112398,97968,8039,411,5980,15,13
616,107299,93418,7849,394,5638,14,13
617,114113,99745,8038,422,5908,13,13
618,114113,99771,8025,421,5896,12,13
619,112398,97968,8039,411,5980,11,13
620,107299,93418,7849,394,5638,10,13
621,114113,99745,8038,422,5908,9,13
622,104387,87697,10499,368,5823,8,13
623,103306,85976,11263,362,5705,7,13
624,100775,83628,11126,347,5674,6,13
625,98340,81490,11061,360,5429,5,13
626,95135,78443,10864,325,5503,4,13
627,93056,76709,10568,315,5464,3,13
628,92439,76210,10388,303,5538,2,13
629,92461,76369,10306,299,5487,1,13
630,34431,31481,2302,151,497,35,19
631,33020,30241,2198,139,442,34,19
632,34398,31345,2377,153,523,33,19
633,33020,30022,2332,148,518,32,19
634,34431,31031,2638,168,594,31,19
635,33020,30022,2332,148,518,30,19
636,34431,30888,2665,163,715,29,19
637,34431,30958,2709,160,604,28,19
638,34436,31098,2514,168,656,27,19
639,34431,30958,2709,160,604,26,19
640,36334,32595,2914,161,664,25,19
641,37794,33801,3013,168,812,24,19
642,39274,35177,3084,171,842,23,19
643,37794,33801,3013,168,812,22,19
644,42908,37925,3378,179,1426,21,19
645,51830,46328,3783,210,1509,20,19
646,44305,39561,3242,177,1325,19,19
647,44326,39459,3253,176,1438,18,19
648,44327,38933,3263,172,1959,17,19
649,53797,47036,3783,198,2780,16,19
650,53793,46886,3848,197,2862,15,19
651,53178,46299,3890,195,2794,14,19
652,53797,47024,3789,199,2785,13,19
653,53797,47036,3783,198,2780,12,19
654,53793,46886,3848,197,2862,11,19
655,53178,46299,3890,195,2794,10,19
656,53797,47024,3789,199,2785,9,19
657,53012,44536,5332,187,2957,8,19
658,53069,44166,5786,186,2931,7,19
659,52860,43866,5836,182,2976,6,19
660,52039,43123,5853,190,2873,5,19
661,51237,42247,5851,175,2964,4,19
662,50779,41858,5767,172,2982,3,19
663,51093,42123,5741,168,3061,2,19
664,51097,42205,5695,165,3032,1,19
665,19080,17444,1276,84,276,35,23
666,27740,25406,1846,117,371,34,23
667,26956,24563,1863,120,410,33,23
668,27740,25220,1960,125,435,32,23
669,26961,24299,2065,132,465,31,23
670,27740,25220,1960,125,435,30,23
671,26930,24160,2084,127,559,29,23
672,27239,24492,2143,126,478,28,23
