,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
326,2019,2,Neuquén,43420,59021,4983,12792,2737
327,2019,2,Río Negro,67841,36527,4037,10485,19657
328,2019,2,Salta,68827,62343,725,1210,9463
329,2019,2,San Juan,51680,7425,1174,2870,6876
330,2019,2,San Luis,11130,10298,347,57242,38368
331,2019,2,Santa Cruz,10665,10257,379,6514,2735
332,2019,2,Santa Fe,325420,355140,18236,21980,22708
333,2019,2,Santiago Del Estero,24393,64783,219,2759,34600
334,2019,2,Tierra Del Fuego,19790,25527,651,0,1486
335,2019,2,Tucumán,153121,12089,116,684,321
336,2019,1,Buenos Aires,1304507,2020730,336362,64867,20201
337,2019,1,Capital Federal,328246,1030814,32281,3978,4281
338,2019,1,Catamarca,26912,4443,16,0,2251
339,2019,1,Chaco,53409,43555,1951,3628,1134
340,2019,1,Chubut,37302,23065,1923,14443,3045
341,2019,1,Córdoba,323272,363959,19902,24615,12367
342,2019,1,Corrientes,55842,43444,1615,1528,58
343,2019,1,Entre Ríos,100999,90253,12723,16231,12241
344,2019,1,Formosa,22570,7878,940,13761,62
345,2019,1,Jujuy,33248,12484,153,640,43622
346,2019,1,La Pampa,18832,57373,2891,9023,1041
347,2019,1,La Rioja,16367,34984,12,252,41
348,2019,1,Mendoza,148524,40205,5662,10363,1544
349,2019,1,Misiones,54898,59214,465,426,7717
350,2019,1,Neuquén,40747,55634,3114,12510,2372
351,2019,1,Río Negro,68377,34124,3994,9736,4857
352,2019,1,Salta,74426,57933,647,1135,1879
353,2019,1,San Juan,51660,5838,808,2932,1207
354,2019,1,San Luis,11108,7784,378,53097,23968
355,2019,1,Santa Cruz,10659,4615,382,6514,2735
356,2019,1,Santa Fe,340038,340344,15621,23215,17860
357,2019,1,Santiago Del Estero,25337,61547,23,2847,99
358,2019,1,Tierra Del Fuego,19789,23549,1623,0,1486
359,2019,1,Tucumán,159215,11670,118,678,321
360,2018,4,Buenos Aires,1305576,1949637,296102,65477,19814
361,2018,4,Capital Federal,328253,1019490,33042,3978,4257
362,2018,4,Catamarca,26912,4443,16,0,2212
363,2018,4,Chaco,53409,43555,1940,3236,1130
364,2018,4,Chubut,37215,23065,952,14443,3047
365,2018,4,Córdoba,328854,355716,17675,21851,13243
366,2018,4,Corrientes,55842,42418,796,1515,30
367,2018,4,Entre Ríos,101168,86198,4853,15472,14356
368,2018,4,Formosa,22619,7880,887,13761,57
369,2018,4,Jujuy,33248,12484,153,640,43608
370,2018,4,La Pampa,18832,55337,2685,7772,1010
371,2018,4,La Rioja,16367,34984,12,252,36
372,2018,4,Mendoza,148524,40205,5665,10363,1547
373,2018,4,Misiones,55500,53673,465,426,6209
374,2018,4,Neuquén,40747,55634,3115,12425,2444
375,2018,4,Río Negro,68377,34292,1299,8037,4832
376,2018,4,Salta,74295,57539,638,253,1853
377,2018,4,San Juan,51660,5838,806,2883,1211
378,2018,4,San Luis,11108,7784,378,53097,23964
379,2018,4,Santa Cruz,10659,4615,382,6378,2734
380,2018,4,Santa Fe,335519,322782,14387,18705,28997
381,2018,4,Santiago Del Estero,25339,61243,23,2649,81
382,2018,4,Tierra Del Fuego,19789,23349,1623,0,1499
383,2018,4,Tucumán,159215,11670,119,686,314
384,2018,3,Buenos Aires,1435856,1929273,156382,62318,26448
385,2018,3,Capital Federal,334353,1009252,35694,3872,9319
386,2018,3,Catamarca,27553,4443,15,1,2214
387,2018,3,Chaco,53927,42359,1990,2628,1129
388,2018,3,Chubut,58887,23065,1239,13817,6728
389,2018,3,Córdoba,337620,342401,15785,19213,10839
390,2018,3,Corrientes,56444,41300,212,1468,32
391,2018,3,Entre Ríos,103318,83714,2403,15093,80
392,2018,3,Formosa,22777,7589,817,13625,57
393,2018,3,Jujuy,33363,10856,32,641,43
394,2018,3,La Pampa,12415,54574,8437,7011,987
395,2018,3,La Rioja,16587,34984,13,253,35
396,2018,3,Mendoza,151033,40205,5744,8195,1852
397,2018,3,Misiones,56290,50793,512,391,56
398,2018,3,Neuquén,46602,54129,998,12277,2712
